CDIM:       161
SDIM:       105
      0.73759789E+01     -0.77189609E-01      0.16913829E+01
      0.73763208E+01     -0.77198468E-01      0.16913333E+01
      0.73767686E+01     -0.77210076E-01      0.16912686E+01
      0.73773561E+01     -0.77225350E-01      0.16911843E+01
      0.73781242E+01     -0.77245176E-01      0.16910723E+01
      0.73791318E+01     -0.77271305E-01      0.16909273E+01
      0.73804522E+01     -0.77305295E-01      0.16907356E+01
      0.73821812E+01     -0.77349998E-01      0.16904861E+01
      0.73844471E+01     -0.77408329E-01      0.16901581E+01
      0.73874149E+01     -0.77484235E-01      0.16897255E+01
      0.73913045E+01     -0.77584133E-01      0.16891648E+01
      0.73964014E+01     -0.77714019E-01      0.16884263E+01
      0.74030790E+01     -0.77883102E-01      0.16874566E+01
      0.74118295E+01     -0.78103445E-01      0.16861887E+01
      0.74232945E+01     -0.78389205E-01      0.16845243E+01
      0.74383187E+01     -0.78758962E-01      0.16823406E+01
      0.74580059E+01     -0.79235546E-01      0.16794751E+01
      0.74838047E+01     -0.79846472E-01      0.16757123E+01
      0.75176125E+01     -0.80620781E-01      0.16707650E+01
      0.75619178E+01     -0.81589282E-01      0.16642509E+01
      0.76062236E+01     -0.82506299E-01      0.16577007E+01
      0.76505303E+01     -0.83372727E-01      0.16511151E+01
      0.76948366E+01     -0.84189765E-01      0.16444966E+01
      0.77391486E+01     -0.84963053E-01      0.16378860E+01
      0.77834649E+01     -0.85694522E-01      0.16312946E+01
      0.78277836E+01     -0.86386271E-01      0.16247319E+01
      0.78721051E+01     -0.87037645E-01      0.16181881E+01
      0.79164200E+01     -0.87639667E-01      0.16115825E+01
      0.79607091E+01     -0.88163570E-01      0.16046640E+01
      0.80049839E+01     -0.88608585E-01      0.15974127E+01
      0.80492525E+01     -0.88976428E-01      0.15898299E+01
      0.80935221E+01     -0.89268230E-01      0.15819129E+01
      0.81378193E+01     -0.89533933E-01      0.15740253E+01
      0.81821566E+01     -0.89808099E-01      0.15664251E+01
      0.82265291E+01     -0.90090498E-01      0.15591123E+01
      0.82709303E+01     -0.90381071E-01      0.15520885E+01
      0.83153543E+01     -0.90676747E-01      0.15453228E+01
      0.83597879E+01     -0.90961210E-01      0.15386367E+01
      0.84042263E+01     -0.91231994E-01      0.15320010E+01
      0.84486704E+01     -0.91489278E-01      0.15254163E+01
      0.84931154E+01     -0.91731735E-01      0.15188717E+01
      0.85375614E+01     -0.91948628E-01      0.15122383E+01
      0.85820169E+01     -0.92113264E-01      0.15052470E+01
      0.86264887E+01     -0.92227675E-01      0.14979045E+01
      0.86709843E+01     -0.92292458E-01      0.14902085E+01
      0.87155247E+01     -0.92316099E-01      0.14822052E+01
      0.87601061E+01     -0.92409000E-01      0.14746095E+01
      0.88047132E+01     -0.92604816E-01      0.14676512E+01
      0.88493319E+01     -0.92901386E-01      0.14613298E+01
      0.88939505E+01     -0.93296282E-01      0.14556453E+01
      0.89385757E+01     -0.93747176E-01      0.14503652E+01
      0.89832659E+01     -0.94152525E-01      0.14448962E+01
      0.90280209E+01     -0.94508141E-01      0.14392045E+01
      0.90728502E+01     -0.94814420E-01      0.14332848E+01
      0.91176939E+01     -0.95070757E-01      0.14271421E+01
      0.91625175E+01     -0.95266573E-01      0.14208529E+01
      0.92073145E+01     -0.95399506E-01      0.14144688E+01
      0.92520809E+01     -0.95469527E-01      0.14079835E+01
      0.92968016E+01     -0.95479183E-01      0.14014050E+01
      0.93414869E+01     -0.95441625E-01      0.13947030E+01
      0.93861609E+01     -0.95410988E-01      0.13877391E+01
      0.94308205E+01     -0.95394515E-01      0.13804822E+01
      0.94754725E+01     -0.95392838E-01      0.13729144E+01
      0.95095310E+01     -0.95401824E-01      0.13669209E+01
      0.95355196E+01     -0.95418528E-01      0.13621733E+01
      0.95553532E+01     -0.95440924E-01      0.13584081E+01
      0.95704899E+01     -0.95463000E-01      0.13554617E+01
      0.95820341E+01     -0.95482461E-01      0.13531765E+01
      0.95908442E+01     -0.95498726E-01      0.13514117E+01
      0.95975676E+01     -0.95511928E-01      0.13500532E+01
      0.96026917E+01     -0.95522434E-01      0.13490115E+01
      0.96065989E+01     -0.95530696E-01      0.13482139E+01
      0.96095791E+01     -0.95537134E-01      0.13476032E+01
      0.96118536E+01     -0.95542125E-01      0.13471361E+01
      0.96135883E+01     -0.95545977E-01      0.13467791E+01
      0.96149120E+01     -0.95548935E-01      0.13465064E+01
      0.96159210E+01     -0.95551215E-01      0.13462981E+01
      0.96166916E+01     -0.95552959E-01      0.13461391E+01
      0.96172791E+01     -0.95554300E-01      0.13460176E+01
      0.96177273E+01     -0.95555328E-01      0.13459250E+01
      0.96180687E+01     -0.95556103E-01      0.13458543E+01
      0.96183290E+01     -0.95556706E-01      0.13458003E+01
      0.96185274E+01     -0.95557168E-01      0.13457592E+01
      0.96186800E+01     -0.95557511E-01      0.13457277E+01
      0.96187954E+01     -0.95557787E-01      0.13457037E+01
      0.96189137E+01     -0.95558062E-01      0.13456794E+01
      0.96191044E+01     -0.95558494E-01      0.13456398E+01
      0.96194153E+01     -0.95559210E-01      0.13455756E+01
      0.96199179E+01     -0.95560372E-01      0.13454713E+01
      0.96207352E+01     -0.95562272E-01      0.13453021E+01
      0.96220598E+01     -0.95565356E-01      0.13450272E+01
